Rat number: 7 , Date: 20210718 
319,318,317,310,311,305,220,214,215,208,209,208,207,201,202,203,209,210,217,218,219,218,219,212,211,210,209,203,202,201,124,118,117,110,109,103,102,101,107,106,107,108,115,116,122,121,302,303,309,308,307,308,315,316,322,321,322,323,324,401,407,408,415,416,422,423,422,416,417,410,411,405,404,223,224,218,217,210,209,203,204,205,211,210,209,208,207,201,202,203,202,201,207,208,209,203,209,210,217,218,224,218,217,210,217,210,209,208,207,201,202,203,204,203,209,
Summary Trial 1
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
Summary Trial 6
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('321', '322') ('00:17:58.480', '00:18:11.760') 13.28 0.3 0.023
('322', '321') ('00:18:11.760', '00:18:14.600') 2.84 0.3 0.106
('321', '320') ('00:18:14.600', '00:18:20.280') 5.68 0.3 0.053
('320', '314') ('00:18:20.280', '00:18:21.200') 0.92 0.3 0.326
('314', '315') ('00:18:21.200', '00:18:22.000') 0.8 0.3 0.375
('315', '308') ('00:18:22.000', '00:18:23.000') 1.0 0.3 0.3
('308', '307') ('00:18:23.000', '00:18:31.200') 8.2 0.3 0.037
('307', '301') ('00:18:31.200', '00:18:32.080') 0.88 0.3 0.341
('301', '302') ('00:18:32.080', '00:18:32.800') 0.72 0.3 0.417
('302', '121') ('00:18:32.800', '00:18:38.000') 5.2 1.72 0.331
('121', '122') ('00:18:38.000', '00:18:38.680') 0.68 0.3 0.441
('122', '123') ('00:18:38.680', '00:18:39.480') 0.8 0.3 0.375
('123', '124') ('00:18:39.480', '00:18:40.200') 0.72 0.3 0.417
('124', '201') ('00:18:40.200', '00:18:41.680') 1.48 0.6 0.405
('201', '202') ('00:18:41.680', '00:18:42.400') 0.72 0.3 0.417
('202', '203') ('00:18:42.400', '00:18:43.200') 0.8 0.3 0.375
('203', '209') ('00:18:43.200', '00:18:46.120') 2.92 0.3 0.103

123,124,123,122,116,117,118,124,201,202,203,209,
Summary Trial 7
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('123', '124') ('00:19:35.120', '00:19:41.240') 6.12 0.3 0.049
('124', '123') ('00:19:41.240', '00:19:41.920') 0.68 0.3 0.441
('123', '122') ('00:19:41.920', '00:19:45.720') 3.8 0.3 0.079
('122', '116') ('00:19:45.720', '00:19:50.480') 4.76 0.3 0.063
('116', '117') ('00:19:50.480', '00:19:51.440') 0.96 0.3 0.312
('117', '118') ('00:19:51.440', '00:19:52.040') 0.6 0.3 0.5
('118', '124') ('00:19:52.040', '00:19:52.880') 0.84 0.3 0.357
('124', '201') ('00:19:52.880', '00:19:54.000') 1.12 0.6 0.536
('201', '202') ('00:19:54.000', '00:19:54.640') 0.64 0.3 0.469
('202', '203') ('00:19:54.640', '00:19:55.360') 0.72 0.3 0.417
('203', '209') ('00:19:55.360', '00:19:56.200') 0.84 0.3 0.357

304,303,302,121,122,116,117,118,124,201,202,203,209,
Summary Trial 8
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('304', '303') ('00:20:32.000', '00:20:36.400') 4.4 0.3 0.068
('303', '302') ('00:20:36.400', '00:20:42.320') 5.92 0.3 0.051
('302', '121') ('00:20:42.320', '00:20:45.880') 3.56 1.72 0.483
('121', '122') ('00:20:45.880', '00:20:46.800') 0.92 0.3 0.326
('122', '116') ('00:20:46.800', '00:20:50.480') 3.68 0.3 0.082
('116', '117') ('00:20:50.480', '00:20:51.400') 0.92 0.3 0.326
('117', '118') ('00:20:51.400', '00:20:52.160') 0.76 0.3 0.395
('118', '124') ('00:20:52.160', '00:20:53.040') 0.88 0.3 0.341
('124', '201') ('00:20:53.040', '00:20:54.120') 1.08 0.6 0.556
('201', '202') ('00:20:54.120', '00:20:54.800') 0.68 0.3 0.441
('202', '203') ('00:20:54.800', '00:20:55.520') 0.72 0.3 0.417
('203', '209') ('00:20:55.520', '00:20:56.600') 1.08 0.3 0.278

404,223,224,218,217,210,209,
Summary Trial 9
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('404', '223') ('00:21:37.560', '00:22:4.600') 27.04 1.69 0.062
('223', '224') ('00:22:4.600', '00:22:5.680') 1.08 0.3 0.278
('224', '218') ('00:22:5.680', '00:22:6.840') 1.16 0.3 0.259
('218', '217') ('00:22:6.840', '00:22:7.440') 0.6 0.3 0.5
('217', '210') ('00:22:7.440', '00:22:8.200') 0.76 0.3 0.395
('210', '209') ('00:22:8.200', '00:22:9.000') 0.8 0.3 0.375

113,114,115,116,117,118,124,201,202,203,209,
Summary Trial 10
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('113', '114') ('00:22:58.440', '00:23:6.520') 8.08 0.3 0.037
('114', '115') ('00:23:6.520', '00:23:7.480') 0.96 0.3 0.312
('115', '116') ('00:23:7.480', '00:23:8.400') 0.92 0.3 0.326
('116', '117') ('00:23:8.400', '00:23:9.240') 0.84 0.3 0.357
('117', '118') ('00:23:9.240', '00:23:9.840') 0.6 0.3 0.5
('118', '124') ('00:23:9.840', '00:23:10.640') 0.8 0.3 0.375
('124', '201') ('00:23:10.640', '00:23:11.720') 1.08 0.6 0.556
('201', '202') ('00:23:11.720', '00:23:12.400') 0.68 0.3 0.441
('202', '203') ('00:23:12.400', '00:23:13.160') 0.76 0.3 0.395
('203', '209') ('00:23:13.160', '00:23:14.120') 0.96 0.3 0.312

418,417,410,409,403,404,223,224,218,217,210,209,
Summary Trial 11
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('418', '417') ('00:24:0.960', '00:24:7.320') 6.36 0.3 0.047
('417', '410') ('00:24:7.320', '00:24:8.640') 1.32 0.3 0.227
('410', '409') ('00:24:8.640', '00:24:10.320') 1.68 0.3 0.179
('409', '403') ('00:24:10.320', '00:24:12.640') 2.32 0.3 0.129
('403', '404') ('00:24:12.640', '00:24:13.400') 0.76 0.3 0.395
('404', '223') ('00:24:13.400', '00:24:16.040') 2.64 1.69 0.64
('223', '224') ('00:24:16.040', '00:24:17.120') 1.08 0.3 0.278
('224', '218') ('00:24:17.120', '00:24:18.000') 0.88 0.3 0.341
('218', '217') ('00:24:18.000', '00:24:18.600') 0.6 0.3 0.5
('217', '210') ('00:24:18.600', '00:24:19.600') 1.0 0.3 0.3
('210', '209') ('00:24:19.600', '00:24:20.240') 0.64 0.3 0.469

317,316,322,316,315,308,307,301,302,121,122,123,124,201,202,203,209,
Summary Trial 12
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('317', '316') ('00:25:2.120', '00:25:7.560') 5.44 0.3 0.055
('316', '322') ('00:25:7.560', '00:25:13.120') 5.56 0.3 0.054
('322', '316') ('00:25:13.120', '00:25:14.000') 0.88 0.3 0.341
('316', '315') ('00:25:14.000', '00:25:15.400') 1.4 0.3 0.214
('315', '308') ('00:25:15.400', '00:25:16.240') 0.84 0.3 0.357
('308', '307') ('00:25:16.240', '00:25:16.920') 0.68 0.3 0.441
('307', '301') ('00:25:16.920', '00:25:17.800') 0.88 0.3 0.341
('301', '302') ('00:25:17.800', '00:25:18.600') 0.8 0.3 0.375
('302', '121') ('00:25:18.600', '00:25:21.280') 2.68 1.72 0.642
('121', '122') ('00:25:21.280', '00:25:22.160') 0.88 0.3 0.341
('122', '123') ('00:25:22.160', '00:25:24.280') 2.12 0.3 0.142
('123', '124') ('00:25:24.280', '00:25:24.920') 0.64 0.3 0.469
('124', '201') ('00:25:24.920', '00:25:26.320') 1.4 0.6 0.429
('201', '202') ('00:25:26.320', '00:25:26.920') 0.6 0.3 0.5
('202', '203') ('00:25:26.920', '00:25:27.640') 0.72 0.3 0.417
('203', '209') ('00:25:27.640', '00:25:28.880') 1.24 0.3 0.242

105,111,110,117,118,124,201,202,203,209,
Summary Trial 13
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('105', '111') ('00:26:2.720', '00:26:13.840') 11.12 0.3 0.027
('111', '110') ('00:26:13.840', '00:26:15.240') 1.4 0.3 0.214
('110', '117') ('00:26:15.240', '00:26:16.040') 0.8 0.3 0.375
('117', '118') ('00:26:16.040', '00:26:16.880') 0.84 0.3 0.357
('118', '124') ('00:26:16.880', '00:26:17.800') 0.92 0.3 0.326
('124', '201') ('00:26:17.800', '00:26:19.000') 1.2 0.6 0.5
('201', '202') ('00:26:19.000', '00:26:20.920') 1.92 0.3 0.156
('202', '203') ('00:26:20.920', '00:26:21.640') 0.72 0.3 0.417
('203', '209') ('00:26:21.640', '00:26:22.960') 1.32 0.3 0.227

407,401,324,318,317,316,315,308,307,301,302,121,122,123,124,201,202,203,209,203,209,203,209,203,209,203,204,203,209,210,211,212,219,218,217,210,209,208,207,201,202,201,202,203,209,
Summary Trial 14
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('407', '401') ('00:27:9.880', '00:27:16.760') 6.88 0.3 0.044
('401', '324') ('00:27:16.760', '00:27:21.200') 4.44 0.6 0.135
('324', '318') ('00:27:21.200', '00:27:22.080') 0.88 0.3 0.341
('318', '317') ('00:27:22.080', '00:27:22.880') 0.8 0.3 0.375
